;account_id;name;real_name;sticker;autograph;chatwheels;bundles;language
0;11550182;Vanskor;Ivan Skorokhod;35005;2307;401706;35581,35582,35583,35584;russian
0;11550182;Vanskor;Ivan Skorokhod;35005;2307;401707;35581,35582,35583,35584;russian
1;48639595;KawaiiSocks;Temirlan Tattybekov;35010;2308;401708;35585,35586,35587,35588;russian
1;48639595;KawaiiSocks;Temirlan Tattybekov;35010;2308;401709;35585,35586,35587,35588;russian
2;55260547;STARBOY;Maxim Fomin;35011;2253;401710;35012,35352,35013,35014;russian
2;55260547;STARBOY;Maxim Fomin;35011;2253;401711;35012,35352,35013,35014;russian
3;55666790;Zais;Nikita Zakharov;35015;2309;401712;35589,35590,35591,35592;russian
3;55666790;Zais;Nikita Zakharov;35015;2309;401713;35589,35590,35591,35592;russian
4;57578110;BLACKARXANGEL;Vladislav Ivachshenko;35016;2254;401650;35017,35353,35018,35019;russian
4;57578110;BLACKARXANGEL;Vladislav Ivachshenko;35016;2254;401651;35017,35353,35018,35019;russian
5;77415789;Inmateoo;Dmitriy Filinov;35024;2256;401714;35025,35355,35026,35027;russian
5;77415789;Inmateoo;Dmitriy Filinov;35024;2256;401715;35025,35355,35026,35027;russian
6;87283048;Maelstorm;Владимир Кузьминов;35032;2258;401652;35033,35357,35034,35035;russian
6;87283048;Maelstorm;Владимир Кузьминов;35032;2258;401653;35033,35357,35034,35035;russian
7;100250283;4ce;Никита Котков;35058;2310;401720;35593,35594,35595,35596;russian
7;100250283;4ce;Никита Котков;35058;2310;401721;35593,35594,35595,35596;russian
8;101756505;Cloud Fox;VIKTOR KULICHEVSKII;35059;2264;401656;35060,35363,35061,35062;russian
8;101756505;Cloud Fox;VIKTOR KULICHEVSKII;35059;2264;401657;35060,35363,35061,35062;russian
9;111568542;Autodestruction;Медведева Дарья Дмитриевна;35069;2266;401658;35070,35365,35071,35072;russian
9;111568542;Autodestruction;Медведева Дарья Дмитриевна;35069;2266;401659;35070,35365,35071,35072;russian
10;113740361;Mortalles;Dmitrii Arzhilovskii;35073;2312;401726;35601,35602,35603,35604;russian
10;113740361;Mortalles;Dmitrii Arzhilovskii;35073;2312;401727;35601,35602,35603,35604;russian
11;144752057;Grayne;Anton Afanasenko;35097;2272;401736;35098,35373,35099,35100;russian
11;144752057;Grayne;Anton Afanasenko;35097;2272;401737;35098,35373,35099,35100;russian
12;166312089;EiriteL;Dariia Morozova;35101;2273;401738;35102,35374,35103,35104;russian
12;166312089;EiriteL;Dariia Morozova;35101;2273;401739;35102,35374,35103,35104;russian
13;178638015;Mantis;Yernar Urazbayev;35109;2313;401826;35605,35606,35607,35608;russian
13;178638015;Mantis;Yernar Urazbayev;35109;2313;401827;35605,35606,35607,35608;russian
14;899273569;Vasilisa;Vasilisa Chernova;35119;2353;401828;35911,35912,35913,35914;russian
14;899273569;Vasilisa;Vasilisa Chernova;35119;2353;401829;35911,35912,35913,35914;russian
15;404150207;y0nd;Gleb Vazhnov;35399;2315;401746;35613,35614,35615,35616;russian
15;404150207;y0nd;Gleb Vazhnov;35399;2315;401747;35613,35614,35615,35616;russian
16;104433897;JAM;Aleksandr Korotkov;35125;2320;401756;35633,35634,35635,35636;russian
16;104433897;JAM;Aleksandr Korotkov;35125;2320;401757;35633,35634,35635,35636;russian
17;60670262;flutterravie;Tosha Bersenev;35137;2283;401642;35172,35381,35173,35174;russian
17;60670262;flutterravie;Tosha Bersenev;35137;2283;401643;35172,35381,35173,35174;russian
18;83038675;Lex;Aleksei Filippov;35432;2329;401774;35669,35670,35671,35672;russian
18;83038675;Lex;Aleksei Filippov;35432;2329;401775;35669,35670,35671,35672;russian
19;26751577;CrystalMay;Дмитрий Корчевинин;35458;2332;;35681,35682,35683,35684;russian
20;76271205;ArsZeeqq;Arsenii Usov;35474;2354;401834;35915,35916,35917,35918;russian
21;80542879;Adekvat;Мавлютов Рустам;35475;2337;401790;35701,35702,35703,35704;russian
21;80542879;Adekvat;Мавлютов Рустам;35475;2337;401791;35701,35702,35703,35704;russian
22;107644273;Smile;Ревин Сергей;35499;2341;401800;35717,35718,35719,35720;russian
22;107644273;Smile;Ревин Сергей;35499;2341;401801;35717,35718,35719,35720;russian
23;127565532;Fishman;Dzmitry Palishchuk;35508;2344;401806;35729,35730,35731,35732;russian
23;127565532;Fishman;Dzmitry Palishchuk;35508;2344;401807;35729,35730,35731,35732;russian
24;189578230;kinda_high;Arkadii Krylov;35516;2347;401812;35741,35742,35743,35744;russian
24;189578230;kinda_high;Arkadii Krylov;35516;2347;401813;35741,35742,35743,35744;russian
25;206742513;Santa;Aleksandr Sergeevich Koltan;35522;2348;401814;35745,35746,35747,35748;russian
25;206742513;Santa;Aleksandr Sergeevich Koltan;35522;2348;401815;35745,35746,35747,35748;russian
26;41475731;Nomad;Jared Bajina;35006;2252;401820;35007,35351,35008,35009;english
26;41475731;Nomad;Jared Bajina;35006;2252;401821;35007,35351,35008,35009;english
27;68243195;Gareth;Gareth Bateson;35020;2255;401644;35021,35354,35022,35023;english
27;68243195;Gareth;Gareth Bateson;35020;2255;401645;35021,35354,35022,35023;english
28;87382579;Misery;Rasmus Berth Filipsen;35036;2284;401648;31209,31210,35393,35394;english
28;87382579;Misery;Rasmus Berth Filipsen;35036;2284;401649;31209,31210,35393,35394;english
29;89511038;ODPixel;Owen Davies;35045;2261;401662;35046,35360,35047,35048;english
29;89511038;ODPixel;Owen Davies;35045;2261;401663;35046,35360,35047,35048;english
30;94155156;Fly;Tal Aizik;35049;2285;401664;35395,35396,35397,35398;english
30;94155156;Fly;Tal Aizik;35049;2285;401665;35395,35396,35397,35398;english
31;116233682;ZQuixotix;Zachary Ang;35074;2267;401660;35075,35366,35076,35077;english
31;116233682;ZQuixotix;Zachary Ang;35074;2267;401661;35075,35366,35076,35077;english
32;270293472;TeaGuvnor;Robson Merritt;35114;2276;401666;35115,35377,35116,35117;english
32;270293472;TeaGuvnor;Robson Merritt;35114;2276;401667;35115,35377,35116,35117;english
33;95145869;Jenkins;Andrew Jenkins;35127;2287;401670;35409,35410,35411,35412;english
33;95145869;Jenkins;Andrew Jenkins;35127;2287;401671;35409,35410,35411,35412;english
34;86918872;Bkop;Benjamin Kopilow;35128;2288;401672;35413,35414,35415,35416;english
34;86918872;Bkop;Benjamin Kopilow;35128;2288;401673;35413,35414,35415,35416;english
35;86762037;WinteR;Chan Litt Binn;35418;2323;401762;35645,35646,35647,35648;english
35;86762037;WinteR;Chan Litt Binn;35418;2323;401763;35645,35646,35647,35648;english
36;32995405;Wagamama;Niklas Högström;35419;2289;401674;35420,35421,35422,35423;english
36;32995405;Wagamama;Niklas Högström;35419;2289;401675;35420,35421,35422,35423;english
37;690740;SUNSfan;Shannon Scotten;35129;2279;401676;35130,35379,35131,35132;english
37;690740;SUNSfan;Shannon Scotten;35129;2279;401677;35130,35379,35131,35132;english
38;58380135;Cap;Austin Walsh;35133;2280;401822;35134,35380,35135,35136;english
38;58380135;Cap;Austin Walsh;35133;2280;401823;35134,35380,35135,35136;english
39;196628643;Ephey;Mira Riad;35143;2290;401678;35424,35425,35426,35427;english
39;196628643;Ephey;Mira Riad;35143;2290;401679;35424,35425,35426,35427;english
40;37147003;Sheever;Jorien van der Heijden;35175;2291;401680;35434,35435,35436,35437;english
40;37147003;Sheever;Jorien van der Heijden;35175;2291;401681;35434,35435,35436,35437;english
41;2744346;tsunami;Neal Khandheria;35438;2292;401682;35439,35440,35441,35442;english
41;2744346;tsunami;Neal Khandheria;35438;2292;401683;35439,35440,35441,35442;english
42;4281729;syndereN;Troels Nielsen;35443;2293;401684;35444,35445,35446,35447;english
42;4281729;syndereN;Troels Nielsen;35443;2293;401685;35444,35445,35446,35447;english
43;5448108;F-Dog;Ioannis Loucas;35448;2294;401686;35449,35450,35451,35452;english
43;5448108;F-Dog;Ioannis Loucas;35448;2294;401687;35449,35450,35451,35452;english
44;9332911;Pyrion Flax;Ted Forsyth;35453;2295;401688;35454,35455,35456,35457;english
44;9332911;Pyrion Flax;Ted Forsyth;35453;2295;401689;35454,35455,35456,35457;english
45;37899842;johnxfire;John Nathan Fernandez;35459;2351;401824;35828,35829,35830,35831;english
45;37899842;johnxfire;John Nathan Fernandez;35459;2351;401825;35828,35829,35830,35831;english
46;47434686;SVG;Avery Silverman;35461;2296;401690;35462,35463,35464,35465;english
46;47434686;SVG;Avery Silverman;35461;2296;401691;35462,35463,35464,35465;english
47;68186278;SirActionSlacks;Jacob Kanner;35467;2297;401784;35468,35469,35470,35471;english
47;68186278;SirActionSlacks;Jacob Kanner;35467;2297;401785;35468,35469,35470,35471;english
48;70090192;trent;Trent MacKenzie;35472;2335;401786;35693,35694,35695,35696;english
48;70090192;trent;Trent MacKenzie;35472;2335;401787;35693,35694,35695,35696;english
49;87024653;MLPDotA;Mkrdich Zobouian;35476;2298;401692;35477,35478,35479,35480;english
49;87024653;MLPDotA;Mkrdich Zobouian;35476;2298;401693;35477,35478,35479,35480;english
50;87177591;Fear;Clinton Loomis;35481;2299;401694;35482,35483,35484,35485;english
50;87177591;Fear;Clinton Loomis;35481;2299;401695;35482,35483,35484,35485;english
51;87264171;Lacoste;Dominik Stipic;35486;2300;401792;35487,35488,35489,35490;english
51;87264171;Lacoste;Dominik Stipic;35486;2300;401793;35487,35488,35489,35490;english
52;97577101;Reya;Alexandra Roberts;35491;2301;401794;35492,35493,35494,35495;english
52;97577101;Reya;Alexandra Roberts;35491;2301;401795;35492,35493,35494,35495;english
53;110155287;lizZard;Admir Salkanović;35500;2302;401696;35501,35502,35503,35504;english
53;110155287;lizZard;Admir Salkanović;35500;2302;401697;35501,35502,35503,35504;english
54;126238768;Gunnar;Nicolas Lopez;35507;2355;401839;35919,35920,35921,35922;english
54;126238768;Gunnar;Nicolas Lopez;35507;2355;401840;35919,35920,35921,35922;english
55;169025618;KheZu;Maurice Gutmann;35511;2303;401698;35512,35513,35514,35515;english
55;169025618;KheZu;Maurice Gutmann;35511;2303;401699;35512,35513,35514,35515;english
56;193673646;Lyrical;Gabriel Thomas Cruz;35517;2304;401700;35518,35519,35520,35521;english
56;193673646;Lyrical;Gabriel Thomas Cruz;35517;2304;401701;35518,35519,35520,35521;english
57;242846025;NatTea;Natalie Mahoney;35523;2305;401702;35524,35525,35526,35527;english
57;242846025;NatTea;Natalie Mahoney;35523;2305;401703;35524,35525,35526,35527;english
58;256125365;Purge;Kevin Godec;35528;2306;401704;35529,35530,35531,35532;english
58;256125365;Purge;Kevin Godec;35528;2306;401705;35529,35530,35531,35532;english
59;96803083;Stormstormer;Daniel Schoetzau;35749;2349;401816;35750,35751,35752,35753;english
59;96803083;Stormstormer;Daniel Schoetzau;35749;2349;401817;35750,35751,35752,35753;english
60;2237798;SeekNStrike;Richard Garcia;35754;2350;401818;35755,35756,35757,35758;english
60;2237798;SeekNStrike;Richard Garcia;35754;2350;401819;35755,35756,35757,35758;english
61;78601976;Jin;Jin Ru;35028;2257;401646;35029,35356,35030,35031;schinese
61;78601976;Jin;Jin Ru;35028;2257;401647;35029,35356,35030,35031;schinese
62;89149892;bbc;ZhangHongSheng;35037;2259;;35038,35358,35039,35040;schinese
63;89423756;LaNm;张志成;35041;2260;401716;35042,35359,35043,35044;schinese
63;89423756;LaNm;张志成;35041;2260;401717;35042,35359,35043,35044;schinese
64;96877519;Wind;Wang Zhibo;35054;2263;401654;35055,35362,35056,35057;schinese
64;96877519;Wind;Wang Zhibo;35054;2263;401655;35055,35362,35056,35057;schinese
65;103039499;super;Su Peng;35063;-1140451904;;;schinese
66;103386764;LavenderAA;李启明;35064;2265;401722;35065,35364,35066,35067;schinese
66;103386764;LavenderAA;李启明;35064;2265;401723;35065,35364,35066,35067;schinese
67;107803494;Ori;曾焦阳;35068;2311;401724;35597,35598,35599,35600;schinese
67;107803494;Ori;曾焦阳;35068;2311;401725;35597,35598,35599,35600;schinese
68;123697330;FreeAgain;PENG HAO;35078;2281;401638;35166,35367,35167,35168;schinese
68;123697330;FreeAgain;PENG HAO;35078;2281;401639;35166,35367,35167,35168;schinese
69;124168390;Mad-;程瀚;35079;2282;401640;35169,35368,35170,35171;schinese
69;124168390;Mad-;程瀚;35079;2282;401641;35169,35368,35170,35171;schinese
70;125210835;璨璨C.C.;时璨璨;35080;2268;401728;35081,35369,35082,35083;schinese
70;125210835;璨璨C.C.;时璨璨;35080;2268;401729;35081,35369,35082,35083;schinese
71;136356404;M4;SUN YABIN;35084;2352;401841;35907,35908,35909,35910;schinese
71;136356404;M4;SUN YABIN;35084;2352;401842;35907,35908,35909,35910;schinese
72;140686911;朔月;Wang Yue;35085;2269;401730;35086,35370,35087,35088;schinese
72;140686911;朔月;Wang Yue;35085;2269;401731;35086,35370,35087,35088;schinese
73;140888552;Luna;WANG MIQI;35089;2270;401732;35090,35371,35091,35092;schinese
73;140888552;Luna;WANG MIQI;35089;2270;401733;35090,35371,35091,35092;schinese
74;143693439;Dy;丁聪;35093;2271;401734;35094,35372,35095,35096;schinese
74;143693439;Dy;丁聪;35093;2271;401735;35094,35372,35095,35096;schinese
75;182379128;Ero;李垚;35110;2275;401742;35111,35376,35112,35113;schinese
75;182379128;Ero;李垚;35110;2275;401743;35111,35376,35112,35113;schinese
76;149486894;Sccc丶;宋淳;35402;2318;401752;35625,35626,35627,35628;schinese
76;149486894;Sccc丶;宋淳;35402;2318;401753;35625,35626,35627,35628;schinese
77;104324194;Tokki;Helen Xu;35126;2286;401668;35404,35405,35406,35407;schinese
77;104324194;Tokki;Helen Xu;35126;2286;401669;35404,35405,35406,35407;schinese
78;92607797;Yuno;WANG JING;35138;2324;401764;35649,35650,35651,35652;schinese
78;92607797;Yuno;WANG JING;35138;2324;401765;35649,35650,35651,35652;schinese
79;139186922;Ams;JUAN CHEN;35139;2278;401766;35140,35382,35141,35142;schinese
79;139186922;Ams;JUAN CHEN;35139;2278;401767;35140,35382,35141,35142;schinese
80;89045027;Mashall;Ma Shaowei;35431;2328;401772;35665,35666,35667,35668;schinese
80;89045027;Mashall;Ma Shaowei;35431;2328;401773;35665,35666,35667,35668;schinese
81;148215639;Monet;杜鹏;35509;2345;401808;35733,35734,35735,35736;schinese
81;148215639;Monet;杜鹏;35509;2345;401809;35733,35734,35735,35736;schinese
82;94923783;Masoku;Jair alex davila matallana;35050;2262;401718;35051,35361,35052,35053;spanish
82;94923783;Masoku;Jair alex davila matallana;35050;2262;401719;35051,35361,35052,35053;spanish
83;176565294;YoloSergio;Sergio André Pérez Chávez;35105;2274;401740;35106,35375,35107,35108;spanish
83;176565294;YoloSergio;Sergio André Pérez Chávez;35105;2274;401741;35106,35375,35107,35108;spanish
84;343774159;Polaris;Gabriel Garcia;35118;2314;401744;35609,35610,35611,35612;spanish
84;343774159;Polaris;Gabriel Garcia;35118;2314;401745;35609,35610,35611,35612;spanish
85;322364182;Vadare;Cristhian Andrade Azpur;35400;2316;401748;35617,35618,35619,35620;spanish
85;322364182;Vadare;Cristhian Andrade Azpur;35400;2316;401749;35617,35618,35619,35620;spanish
86;302568414;Redmonster;Jhon Albert Mamani Condori;35401;2317;401750;35621,35622,35623,35624;spanish
86;302568414;Redmonster;Jhon Albert Mamani Condori;35401;2317;401751;35621,35622,35623,35624;spanish
87;123044675;Lucky;Kevin Nahyr Muñoz Carbajal;35121;2277;401830;35122,35378,35123,35124;spanish
