;account_id;name;real_name;sticker;autograph;chatwheels;bundles;language
0;665124;Danog;Matt Joyce;31248;2145;401424;31249,31250,31251,31252;english
0;665124;Danog;Matt Joyce;31248;2145;401425;31249,31250,31251,31252;english
1;690740;SUNSfan;Shannon Scotten;31253;2146;401426;31254,31255,31256,31257;english
1;690740;SUNSfan;Shannon Scotten;31253;2146;401449;31254,31255,31256,31257;english
2;9332911;Pyrion Flax;Ted Forsyth;31258;2147;401427;31259,31260,31261,31262;english
2;9332911;Pyrion Flax;Ted Forsyth;31258;2147;401428;31259,31260,31261,31262;english
3;68243195;Gareth;Gareth Bateson;31263;2160;401450;31622,31623,31624,31625;english
3;68243195;Gareth;Gareth Bateson;31263;2160;401451;31622,31623,31624,31625;english
4;70090192;Trent MacKenzie;Trent MacKenzie;31264;2159;401429;31346,31347,31348,31349;english
4;70090192;Trent MacKenzie;Trent MacKenzie;31264;2159;401430;31346,31347,31348,31349;english
5;86762037;WinteR;Chan Litt Binn;31265;2161;401431;31626,31627,31628,31629;english
5;86762037;WinteR;Chan Litt Binn;31265;2161;401432;31626,31627,31628,31629;english
6;87264171;Lacoste;Dominik Stipic;31266;2148;401433;31267,31268,31269,31270;english
6;87264171;Lacoste;Dominik Stipic;31266;2148;401434;31267,31268,31269,31270;english
7;89511038;ODPixel;Owen Davies;31273;2152;401439;31306,31307,31308,31309;english
7;89511038;ODPixel;Owen Davies;31273;2152;401440;31306,31307,31308,31309;english
8;196628643;Ephey;Mira Riad;31281;2149;401443;31282,31283,31284,31285;english
8;196628643;Ephey;Mira Riad;31281;2149;401444;31282,31283,31284,31285;english
9;270293472;TeaGuvnor;Robson Merritt;31668;2171;401509;31669,31670,31671,31672;english
9;270293472;TeaGuvnor;Robson Merritt;31668;2171;401510;31669,31670,31671,31672;english
10;228457326;Fluke;Luke Pate;31290;2155;401452;31318,31319,31320,31321;english
10;228457326;Fluke;Luke Pate;31290;2155;401453;31318,31319,31320,31321;english
11;181866849;Moxxi;Michelle Song;31683;2174;401454;31684,31685,31686,31687;english
11;181866849;Moxxi;Michelle Song;31683;2174;401455;31684,31685,31686,31687;english
12;110155287;lizZard;ADMIR SALKANOVIC;31729;2183;401531;31730,31731,31732,31733;english
12;110155287;lizZard;ADMIR SALKANOVIC;31729;2183;401532;31730,31731,31732,31733;english
13;104324194;Tokki;Helen Xu;31734;2184;401613;31735,31736,31737,31738;english
13;104324194;Tokki;Helen Xu;31734;2184;401614;31735,31736,31737,31738;english
14;95145869;Jenkins;Andrew Jenkins;31749;2187;401456;31750,31751,31752,31753;english
14;95145869;Jenkins;Andrew Jenkins;31749;2187;401457;31750,31751,31752,31753;english
15;87177591;Fear;Clinton Loomis;31758;2189;401458;31759,31760,31761,31762;english
15;87177591;Fear;Clinton Loomis;31758;2189;401459;31759,31760,31761,31762;english
16;86918872;Bkop;Benjamin Kopilow;31763;2190;401460;31764,31765,31766,31767;english
16;86918872;Bkop;Benjamin Kopilow;31763;2190;401461;31764,31765,31766,31767;english
17;78601976;Jin;JIN RU;31774;2192;401462;31775,31776,31777,31778;english
17;78601976;Jin;JIN RU;31774;2192;401463;31775,31776,31777,31778;english
18;47434686;SVG;Avery Silverman;31292;2156;401445;31322,31323,31324,31325;english
18;47434686;SVG;Avery Silverman;31292;2156;401446;31322,31323,31324,31325;english
19;37899842;@johnxfire;John Nathan Fernandez;31784;2194;401464;31785,31786,31787,31788;english
19;37899842;@johnxfire;John Nathan Fernandez;31784;2194;401465;31785,31786,31787,31788;english
20;4281729;syndereN;Troels Nielsen;31789;2195;401466;31790,31791,31792,31793;english
20;4281729;syndereN;Troels Nielsen;31789;2195;401467;31790,31791,31792,31793;english
21;2744346;tsunami;Neal Khandheria;31794;2196;401468;31795,31796,31797,31798;english
21;2744346;tsunami;Neal Khandheria;31794;2196;401469;31795,31796,31797,31798;english
22;256125365;Purge;Kevin Godec;31799;2197;401470;31800,31801,31802,31803;english
22;256125365;Purge;Kevin Godec;31799;2197;401471;31800,31801,31802,31803;english
23;37147003;Sheever;Jorien van der Heijden;31293;2157;401617;31326,31327,31328,31329;english
23;37147003;Sheever;Jorien van der Heijden;31293;2157;401618;31326,31327,31328,31329;english
24;242846025;NatTea;Natalie Mahoney;31330;2158;401447;31331,31332,31333,31334;english
24;242846025;NatTea;Natalie Mahoney;31330;2158;401448;31331,31332,31333,31334;english
25;58380135;Cap;Austin Walsh;31336;2205;401472;31838,31839,31840,31841;english
25;58380135;Cap;Austin Walsh;31336;2205;401473;31838,31839,31840,31841;english
26;193673646;Lyrical;Gabriel Thomas Cruz;31337;2206;401474;31842,31843,31844,31845;english
26;193673646;Lyrical;Gabriel Thomas Cruz;31337;2206;401475;31842,31843,31844,31845;english
27;169025618;KheZu;Maurice Gutmann;31846;2207;401556;31847,31848,31849,31850;english
28;5448108;Fogged;Ioannis Loucas;31861;2210;401476;31862,31863,31864,31865;english
28;5448108;Fogged;Ioannis Loucas;31861;2210;401477;31862,31863,31864,31865;english
29;32995405;Wagamama;Niklas Högström;31871;2212;401478;31872,31873,31874,31875;english
29;32995405;Wagamama;Niklas Högström;31871;2212;401479;31872,31873,31874,31875;english
30;41475731;Nomad;Jared Bajina;31881;2214;401565;31882,31883,31884,31885;english
30;41475731;Nomad;Jared Bajina;31881;2214;401566;31882,31883,31884,31885;english
31;56708688;MARA_GTO;Marat Mukanov;31891;2216;401619;31892,31893,31894,31895;english
31;56708688;MARA_GTO;Marat Mukanov;31891;2216;401620;31892,31893,31894,31895;english
32;68186278;Slacks;Jacob Kanner;31901;2218;401571;31902,31903,31904,31905;english
32;68186278;Slacks;Jacob Kanner;31901;2218;401572;31902,31903,31904,31905;english
33;87024653;MLPDotA;Mkrdich Zobouian;31911;2220;401480;31912,31913,31914,31915;english
33;87024653;MLPDotA;Mkrdich Zobouian;31911;2220;401481;31912,31913,31914,31915;english
34;112035603;Snare;Sean Nkgomotsang Rihlamvu;31961;2230;401482;31962,31963,31964,31965;english
34;112035603;Snare;Sean Nkgomotsang Rihlamvu;31961;2230;401483;31962,31963,31964,31965;english
35;136780564;Ares;Lachlan Williams;31986;2235;401484;31987,31988,31989,31990;english
35;136780564;Ares;Lachlan Williams;31986;2235;401485;31987,31988,31989,31990;english
36;89045027;Mashall;Ma Shaowei;31271;2150;401435;31298,31299,31300,31301;schinese
36;89045027;Mashall;Ma Shaowei;31271;2150;401436;31298,31299,31300,31301;schinese
37;89149892;BBC;Zhang Hongsheng;31272;2151;401437;31302,31303,31304,31305;schinese
37;89149892;BBC;Zhang Hongsheng;31272;2151;401438;31302,31303,31304,31305;schinese
38;96877519;Wind;Wang Zhibo;31274;2162;401486;31630,31631,31632,31633;schinese
38;96877519;Wind;Wang Zhibo;31274;2162;401487;31630,31631,31632,31633;schinese
39;124168390;Mad;程瀚;31278;2166;401494;31646,31647,31648,31649;schinese
39;124168390;Mad;程瀚;31278;2166;401495;31646,31647,31648,31649;schinese
40;125210835;璨璨C.C.;时璨璨;31279;2153;401441;31310,31311,31312,31313;schinese
40;125210835;璨璨C.C.;时璨璨;31279;2153;401442;31310,31311,31312,31313;schinese
41;286580656;xxr;何林立;31286;2154;401498;31314,31315,31316,31317;schinese
41;286580656;xxr;何林立;31286;2154;401499;31314,31315,31316,31317;schinese
42;182379128;Ero;Yao Li;31678;2173;401513;31679,31680,31681,31682;schinese
42;182379128;Ero;Yao Li;31678;2173;401514;31679,31680,31681,31682;schinese
